STATE,LGA,COMMUNITY,DATE_OF_OCCURRENCE,PERSONS_AFFECTED,DISPLACED_PERSONS,DATE,YEAR,MONTH,SEASON,SEVERITY_RATIO
Plateau,Quaan Pan,Lankaku,28/08/2022,127,109,2022-08-28,2022.0,8.0,Rainy,0.8582677165354331
Plateau,Quaan Pan,Jetta,28/08/2022,294,237,2022-08-28,2022.0,8.0,Rainy,0.8061224489795918
Plateau,Mikang,Baltep,28/08/2022,108,112,2022-08-28,2022.0,8.0,Rainy,1.037037037037037
Plateau,Mikang,Lalin,28/08/2022,186,109,2022-08-28,2022.0,8.0,Rainy,0.5860215053763441
Plateau,Mikang,piapung,28/08/2022,73,107,2022-08-28,2022.0,8.0,Rainy,1.4657534246575343
Plateau,Mikang,Lifidi,28/08/2022,211,81,2022-08-28,2022.0,8.0,Rainy,0.38388625592417064
Plateau,Mikang,Garkawa ',28/08/2022,93,192,2022-08-28,2022.0,8.0,Rainy,2.064516129032258
Plateau,Mikang,Shamang,28/08/2022,119,71,2022-08-28,2022.0,8.0,Rainy,0.5966386554621849
Plateau,Mikang,padpung,28/08/2022,107,73,2022-08-28,2022.0,8.0,Rainy,0.6822429906542056
Plateau,Pankshin,Wuseli-Sum,28/08/2022,91,87,2022-08-28,2022.0,8.0,Rainy,0.9560439560439561
Plateau,Pankshin,Balang,28/08/2022,107,89,2022-08-28,2022.0,8.0,Rainy,0.8317757009345794
Plateau,Pankshin,kalep,28/08/2022,95,67,2022-08-28,2022.0,8.0,Rainy,0.7052631578947368
Plateau,Pankshin,Chigwong,28/08/2022,175,131,2022-08-28,2022.0,8.0,Rainy,0.7485714285714286
Plateau,Pankshin,Wuseli-Yan,28/08/2022,211,178,2022-08-28,2022.0,8.0,Rainy,0.8436018957345972
Plateau,Pankshin,Fier,28/08/2022,116,105,2022-08-28,2022.0,8.0,Rainy,0.9051724137931034
Plateau,Pankshin,Wokkos,28/08/2022,235,210,2022-08-28,2022.0,8.0,Rainy,0.8936170212765957
Plateau,Pankshin,Ner,28/08/2022,201,178,2022-08-28,2022.0,8.0,Rainy,0.8855721393034826
Plateau,Pankshin,Tazuk,28/08/2022,99,85,2022-08-28,2022.0,8.0,Rainy,0.8585858585858586
Plateau,Pankshin,Kalong,28/08/2022,82,63,2022-08-28,2022.0,8.0,Rainy,0.7682926829268293
Plateau,Pankshin,Kor,28/08/2022,76,41,2022-08-28,2022.0,8.0,Rainy,0.5394736842105263
Rivers,Obia/Akpor,"Erico, Mini Ndai",22/06/2022,1841,0,2022-06-22,2022.0,6.0,Rainy,0.0
Rivers,Asari-Toru,Unspecified,2022-02-06 00:00:00,1413,0,2022-02-06,2022.0,2.0,Dry,0.0
Sokoto,Shagari,"Adare, Jaranja, Yamma Gada & Sabon Garin Shagari",2022-10-08 00:00:00,1405,391,2022-10-08,2022.0,10.0,Rainy,0.2782918149466192
Sokoto,Binji,"Binji Town. Tudun Kose, Maikulki, lnname, Samama & JamalL",19/08/2022,3815,1447,2022-08-19,2022.0,8.0,Rainy,0.37929226736566185
Sokoto,Dange-Shuni,"Dange, Fajaldu & Gidan Gara",19/08/2022,3432,1269,2022-08-19,2022.0,8.0,Rainy,0.36975524475524474
Sokoto,Goronyo,"Goronyo
Town,Taloka,Shinaka,Bi,jingu,Gorau,Takakube,Rimawa,Tolaske,Fala/iya,Kwa kwazo,Kojiyo,Bari,Kagara,Sabon Garin Dole, Boye Kai And Balla",2022-03-09 00:00:00,1650,410,2022-03-09,2022.0,3.0,Rainy,0.24848484848484848
Sokoto,Wamako,"Guiwa Be/a, Gidan Ja'Oji & Gidan Yero",2022-10-08 00:00:00,1643,597,2022-10-08,2022.0,10.0,Rainy,0.3633597078514912
Sokoto,Tangaza,"Sakkwai; Shiyar Ajiya, Makera, Runji & Shiyar Magaji",2022-10-08 00:00:00,2321,1649,2022-10-08,2022.0,10.0,Rainy,0.7104696251615683
Sokoto,Tambuwal,Sayyina And Kuchi,20/08/2022,691,0,2022-08-20,2022.0,8.0,Rainy,0.0
Sokoto,Bodinga,"Sifawa, Danchadi & BangijDabaga",2022-06-08 00:00:00,978,164,2022-06-08,2022.0,6.0,Rainy,0.16768916155419222
Taraba,Donga,"Anguwan Mission, Nyivo Nyita, Donga Town",20/07/2022,4217,0,2022-07-20,2022.0,7.0,Rainy,0.0
Taraba,Kurmi,"Baissa, Ndaforo, Didan, Abong, Bissau/a, Njuande, Nyido, Tasso",20/07/2022,5871,0,2022-07-20,2022.0,7.0,Rainy,0.0
